,Unnamed: 0,Unnamed: 0.1,structure_type,blocks,structure_width,structure_height,bridge_elevation,n_blocks,n_inner_arch,pillar_type,inner_width,outer_width,includes_outer_arches,top_down_abstractions,low_level_parts,low_level_part_types,low_level_part_params,mid_level_parts,mid_level_part_types,mid_level_part_params,high_level_parts,high_level_part_types,high_level_part_params,dreamcoder_program,program_whole_squares,structure_number,train,Unnamed: 0.1.1,house_width,n_stories,roof_name,Unnamed: 0.1.1.1,t_1_brick,t_2_brick,gap,roof_1_name,roof_2_name,skyscraper_1_height,skyscraper_2_height,tower_level_parts,tower_level_part_types,tower_level_part_params,stimId,subdomain,s3_stimuli,dreamcoder_program_dsl_0_tokens,low_level_parts_with_params,mid_level_parts_with_params,high_level_parts_with_params,low_level_part_types_with_params,mid_level_part_types_with_params,high_level_part_types_with_params
0,0,0,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 3, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 2, 'width': 1}, {'x': 3, 'y': 2, 'height': 2, 'width': 1}, {'x': 0, 'y': 4, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 1, 'width': 2}, {'x': 1, 'y': 5, 'height': 1, 'width': 2}]",4.0,6.0,1.0,7.0,1.0,none,4.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch', 'row'], 'low_level_part_types': ['pillar', 'pillar', 'arch-4', 'row-thin'], 'low_level_part_params': ['1', '1'], 'mid_level_parts': ['pillar-pair', 'arch', 'viaduct'], 'mid_level_part_types': ['pillar-pair', 'arch-4', 'viaduct'], 'mid_level_part_params': ['1', '4', '1'], 'high_level_parts': ['arch-set-parameterized', 'viaduct'], 'high_level_part_types': ['viaduct', 'arch-set-4'], 'high_level_part_params': ['1', '1']}","['pillar', 'pillar', 'arch', 'row']","['pillar', 'pillar', 'arch-4', 'row-thin']","['1', '1']","['pillar-pair', 'arch', 'viaduct']","['pillar-pair', 'arch-4', 'viaduct']","['1', '4', '1']","['arch-set-parameterized', 'viaduct']","['viaduct', 'arch-set-4']","['1', '1']",((l 1) t (r 6) t (l 6) t (r 6) t (l 5) h (r 4) h (l 2) h),(t (r 3) t (l 3) t (r 3) t (l 3) h (r 2) h (l 1) h),0,True,,,,,,,,,,,,,,[],[],0,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-000-all.png,"['l', '1', '1x2', 'r', '6', '1x2', 'l', '6', '1x2', 'r', '6', '1x2', 'l', '5', '2x1', 'r', '4', '2x1', 'l', '2', '2x1']","['pillar', 'pillar', 'arch', 'row', '1', '1']","['pillar-pair', 'arch', 'viaduct', '1', '4', '1']","['arch-set-parameterized', 'viaduct', '1', '1']","['pillar', 'pillar', 'arch-4', 'row-thin', '1', '1']","['pillar-pair', 'arch-4', 'viaduct', '1', '4', '1']","['viaduct', 'arch-set-4', '1', '1']"
1,1,1,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 5, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 1, 'width': 2}, {'x': 1, 'y': 3, 'height': 1, 'width': 2}, {'x': 4, 'y': 2, 'height': 1, 'width': 2}, {'x': 3, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 1, 'width': 2}, {'x': 4, 'y': 4, 'height': 1, 'width': 2}, {'x': 1, 'y': 5, 'height': 1, 'width': 2}, {'x': 3, 'y': 5, 'height': 1, 'width': 2}]",6.0,6.0,1.0,11.0,1.0,none,6.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch', 'row'], 'low_level_part_types': ['pillar', 'pillar', 'arch-6', 'row-thin'], 'low_level_part_params': ['1', '1'], 'mid_level_parts': ['pillar-pair', 'arch', 'viaduct'], 'mid_level_part_types': ['pillar-pair', 'arch-6', 'viaduct'], 'mid_level_part_params': ['1', '6', '1'], 'high_level_parts': ['arch-set-parameterized', 'viaduct'], 'high_level_part_types': ['viaduct', 'arch-set-6'], 'high_level_part_params': ['1', '1']}","['pillar', 'pillar', 'arch', 'row']","['pillar', 'pillar', 'arch-6', 'row-thin']","['1', '1']","['pillar-pair', 'arch', 'viaduct']","['pillar-pair', 'arch-6', 'viaduct']","['1', '6', '1']","['arch-set-parameterized', 'viaduct']","['viaduct', 'arch-set-6']","['1', '1']",((l 1) t (r 10) t (l 9) h (r 2) h (r 6) h (l 2) h (l 6) h (r 4) h (r 4) h (l 6) h (r 4) h),(t (r 5) t (l 5) h (r 1) h (r 3) h (l 1) h (l 3) h (r 2) h (r 2) h (l 3) h (r 2) h),1,True,,,,,,,,,,,,,,[],[],1,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-001-all.png,"['l', '1', '1x2', 'r', '10', '1x2', 'l', '9', '2x1', 'r', '2', '2x1', 'r', '6', '2x1', 'l', '2', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'r', '4', '2x1', 'l', '6', '2x1', 'r', '4', '2x1']","['pillar', 'pillar', 'arch', 'row', '1', '1']","['pillar-pair', 'arch', 'viaduct', '1', '6', '1']","['arch-set-parameterized', 'viaduct', '1', '1']","['pillar', 'pillar', 'arch-6', 'row-thin', '1', '1']","['pillar-pair', 'arch-6', 'viaduct', '1', '6', '1']","['viaduct', 'arch-set-6', '1', '1']"
2,2,2,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 5, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 1, 'width': 2}, {'x': 1, 'y': 3, 'height': 1, 'width': 2}, {'x': 4, 'y': 2, 'height': 1, 'width': 2}, {'x': 3, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 1, 'width': 2}, {'x': 4, 'y': 4, 'height': 1, 'width': 2}, {'x': 1, 'y': 5, 'height': 1, 'width': 2}, {'x': 3, 'y': 5, 'height': 1, 'width': 2}, {'x': 0, 'y': 5, 'height': 2, 'width': 1}, {'x': 5, 'y': 5, 'height': 2, 'width': 1}]",6.0,7.0,1.0,13.0,1.0,uniform,6.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch', 'row', 'pillar', 'pillar'], 'low_level_part_types': ['pillar', 'pillar', 'arch-6', 'row-thin', 'pillar', 'pillar'], 'low_level_part_params': ['1', '1', '1', '1'], 'mid_level_parts': ['pillar-pair', 'arch', 'viaduct', 'suspension'], 'mid_level_part_types': ['pillar-pair', 'arch-6', 'viaduct', 'suspension-uniform'], 'mid_level_part_params': ['1', '6', '1'], 'high_level_parts': ['arch-set-parameterized', 'viaduct', 'suspension'], 'high_level_part_types': ['viaduct', 'suspension-uniform', 'arch-set-6'], 'high_level_part_params': ['1', '1']}","['pillar', 'pillar', 'arch', 'row', 'pillar', 'pillar']","['pillar', 'pillar', 'arch-6', 'row-thin', 'pillar', 'pillar']","['1', '1', '1', '1']","['pillar-pair', 'arch', 'viaduct', 'suspension']","['pillar-pair', 'arch-6', 'viaduct', 'suspension-uniform']","['1', '6', '1']","['arch-set-parameterized', 'viaduct', 'suspension']","['viaduct', 'suspension-uniform', 'arch-set-6']","['1', '1']",((l 1) t (r 10) t (l 9) h (r 2) h (r 6) h (l 2) h (l 6) h (r 4) h (r 4) h (l 6) h (r 4) h (l 7) t (r 10) t),(t (r 5) t (l 5) h (r 1) h (r 3) h (l 1) h (l 3) h (r 2) h (r 2) h (l 3) h (r 2) h (l 3) t (r 5) t),2,True,,,,,,,,,,,,,,[],[],2,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-002-all.png,"['l', '1', '1x2', 'r', '10', '1x2', 'l', '9', '2x1', 'r', '2', '2x1', 'r', '6', '2x1', 'l', '2', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'r', '4', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'l', '7', '1x2', 'r', '10', '1x2']","['pillar', 'pillar', 'arch', 'row', 'pillar', 'pillar', '1', '1', '1', '1']","['pillar-pair', 'arch', 'viaduct', 'suspension', '1', '6', '1']","['arch-set-parameterized', 'viaduct', 'suspension', '1', '1']","['pillar', 'pillar', 'arch-6', 'row-thin', 'pillar', 'pillar', '1', '1', '1', '1']","['pillar-pair', 'arch-6', 'viaduct', 'suspension-uniform', '1', '6', '1']","['viaduct', 'suspension-uniform', 'arch-set-6', '1', '1']"
3,3,3,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 5, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 1, 'width': 2}, {'x': 1, 'y': 3, 'height': 1, 'width': 2}, {'x': 4, 'y': 2, 'height': 1, 'width': 2}, {'x': 3, 'y': 3, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 1, 'width': 2}, {'x': 4, 'y': 4, 'height': 1, 'width': 2}, {'x': 1, 'y': 5, 'height': 1, 'width': 2}, {'x': 3, 'y': 5, 'height': 1, 'width': 2}, {'x': 0, 'y': 6, 'height': 1, 'width': 2}, {'x': 2, 'y': 6, 'height': 1, 'width': 2}, {'x': 4, 'y': 6, 'height': 1, 'width': 2}, {'x': 0, 'y': 7, 'height': 2, 'width': 1}, {'x': 5, 'y': 7, 'height': 2, 'width': 1}]",6.0,9.0,1.0,16.0,1.0,uniform,6.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch', 'row', 'row', 'pillar', 'pillar'], 'low_level_part_types': ['pillar', 'pillar', 'arch-6', 'row-thin', 'row-thick', 'pillar', 'pillar'], 'low_level_part_params': ['1', '1', '1', '1'], 'mid_level_parts': ['pillar-pair', 'arch', 'viaduct', 'suspension'], 'mid_level_part_types': ['pillar-pair', 'arch-6', 'viaduct', 'suspension-uniform'], 'mid_level_part_params': ['1', '6', '2'], 'high_level_parts': ['arch-set-parameterized', 'viaduct', 'suspension'], 'high_level_part_types': ['viaduct', 'suspension-uniform', 'arch-set-6'], 'high_level_part_params': ['1', '2']}","['pillar', 'pillar', 'arch', 'row', 'row', 'pillar', 'pillar']","['pillar', 'pillar', 'arch-6', 'row-thin', 'row-thick', 'pillar', 'pillar']","['1', '1', '1', '1']","['pillar-pair', 'arch', 'viaduct', 'suspension']","['pillar-pair', 'arch-6', 'viaduct', 'suspension-uniform']","['1', '6', '2']","['arch-set-parameterized', 'viaduct', 'suspension']","['viaduct', 'suspension-uniform', 'arch-set-6']","['1', '2']",((l 1) t (r 10) t (l 9) h (r 2) h (r 6) h (l 2) h (l 6) h (r 4) h (r 4) h (l 6) h (r 4) h (l 6) h (r 4) h (r 4) h (l 9) t (r 10) t),(t (r 5) t (l 5) h (r 1) h (r 3) h (l 1) h (l 3) h (r 2) h (r 2) h (l 3) h (r 2) h (l 3) h (r 2) h (r 2) h (l 4) t (r 5) t),3,True,,,,,,,,,,,,,,[],[],3,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-003-all.png,"['l', '1', '1x2', 'r', '10', '1x2', 'l', '9', '2x1', 'r', '2', '2x1', 'r', '6', '2x1', 'l', '2', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'r', '4', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'r', '4', '2x1', 'l', '9', '1x2', 'r', '10', '1x2']","['pillar', 'pillar', 'arch', 'row', 'row', 'pillar', 'pillar', '1', '1', '1', '1']","['pillar-pair', 'arch', 'viaduct', 'suspension', '1', '6', '2']","['arch-set-parameterized', 'viaduct', 'suspension', '1', '2']","['pillar', 'pillar', 'arch-6', 'row-thin', 'row-thick', 'pillar', 'pillar', '1', '1', '1', '1']","['pillar-pair', 'arch-6', 'viaduct', 'suspension-uniform', '1', '6', '2']","['viaduct', 'suspension-uniform', 'arch-set-6', '1', '2']"
4,4,4,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 7, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 1, 'width': 2}, {'x': 6, 'y': 2, 'height': 1, 'width': 2}, {'x': 1, 'y': 3, 'height': 1, 'width': 2}, {'x': 5, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 1, 'width': 2}, {'x': 4, 'y': 4, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 1, 'width': 2}, {'x': 6, 'y': 4, 'height': 1, 'width': 2}]",8.0,5.0,1.0,10.0,1.0,none,8.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch'], 'low_level_part_types': ['pillar', 'pillar', 'arch-8'], 'low_level_part_params': ['1', '1'], 'mid_level_parts': ['pillar-pair', 'arch'], 'mid_level_part_types': ['pillar-pair', 'arch-8'], 'mid_level_part_params': ['1', '8'], 'high_level_parts': ['arch-set-parameterized'], 'high_level_part_types': ['arch-set-8'], 'high_level_part_params': ['1']}","['pillar', 'pillar', 'arch']","['pillar', 'pillar', 'arch-8']","['1', '1']","['pillar-pair', 'arch']","['pillar-pair', 'arch-8']","['1', '8']",['arch-set-parameterized'],['arch-set-8'],['1'],((l 1) t (r 14) t (l 13) h (r 12) h (l 10) h (r 8) h (l 6) h (r 4) h (l 8) h (r 12) h),(t (r 7) t (l 7) h (r 6) h (l 5) h (r 4) h (l 3) h (r 2) h (l 4) h (r 6) h),4,True,,,,,,,,,,,,,,[],[],4,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-004-all.png,"['l', '1', '1x2', 'r', '14', '1x2', 'l', '13', '2x1', 'r', '12', '2x1', 'l', '10', '2x1', 'r', '8', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'l', '8', '2x1', 'r', '12', '2x1']","['pillar', 'pillar', 'arch', '1', '1']","['pillar-pair', 'arch', '1', '8']","['arch-set-parameterized', '1']","['pillar', 'pillar', 'arch-8', '1', '1']","['pillar-pair', 'arch-8', '1', '8']","['arch-set-8', '1']"
5,5,5,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 7, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 1, 'width': 2}, {'x': 6, 'y': 2, 'height': 1, 'width': 2}, {'x': 1, 'y': 3, 'height': 1, 'width': 2}, {'x': 5, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 1, 'width': 2}, {'x': 4, 'y': 4, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 1, 'width': 2}, {'x': 6, 'y': 4, 'height': 1, 'width': 2}, {'x': 1, 'y': 5, 'height': 1, 'width': 2}, {'x': 3, 'y': 5, 'height': 1, 'width': 2}, {'x': 5, 'y': 5, 'height': 1, 'width': 2}]",8.0,6.0,1.0,13.0,1.0,none,8.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch', 'row'], 'low_level_part_types': ['pillar', 'pillar', 'arch-8', 'row-thin'], 'low_level_part_params': ['1', '1'], 'mid_level_parts': ['pillar-pair', 'arch', 'viaduct'], 'mid_level_part_types': ['pillar-pair', 'arch-8', 'viaduct'], 'mid_level_part_params': ['1', '8', '1'], 'high_level_parts': ['arch-set-parameterized', 'viaduct'], 'high_level_part_types': ['viaduct', 'arch-set-8'], 'high_level_part_params': ['1', '1']}","['pillar', 'pillar', 'arch', 'row']","['pillar', 'pillar', 'arch-8', 'row-thin']","['1', '1']","['pillar-pair', 'arch', 'viaduct']","['pillar-pair', 'arch-8', 'viaduct']","['1', '8', '1']","['arch-set-parameterized', 'viaduct']","['viaduct', 'arch-set-8']","['1', '1']",((l 1) t (r 14) t (l 13) h (r 12) h (l 10) h (r 8) h (l 6) h (r 4) h (l 8) h (r 12) h (l 10) h (r 4) h (r 4) h),(t (r 7) t (l 7) h (r 6) h (l 5) h (r 4) h (l 3) h (r 2) h (l 4) h (r 6) h (l 5) h (r 2) h (r 2) h),5,True,,,,,,,,,,,,,,[],[],5,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-005-all.png,"['l', '1', '1x2', 'r', '14', '1x2', 'l', '13', '2x1', 'r', '12', '2x1', 'l', '10', '2x1', 'r', '8', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'l', '8', '2x1', 'r', '12', '2x1', 'l', '10', '2x1', 'r', '4', '2x1', 'r', '4', '2x1']","['pillar', 'pillar', 'arch', 'row', '1', '1']","['pillar-pair', 'arch', 'viaduct', '1', '8', '1']","['arch-set-parameterized', 'viaduct', '1', '1']","['pillar', 'pillar', 'arch-8', 'row-thin', '1', '1']","['pillar-pair', 'arch-8', 'viaduct', '1', '8', '1']","['viaduct', 'arch-set-8', '1', '1']"
6,6,6,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 7, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 1, 'width': 2}, {'x': 6, 'y': 2, 'height': 1, 'width': 2}, {'x': 1, 'y': 3, 'height': 1, 'width': 2}, {'x': 5, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 1, 'width': 2}, {'x': 4, 'y': 4, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 1, 'width': 2}, {'x': 6, 'y': 4, 'height': 1, 'width': 2}, {'x': 1, 'y': 5, 'height': 1, 'width': 2}, {'x': 3, 'y': 5, 'height': 1, 'width': 2}, {'x': 5, 'y': 5, 'height': 1, 'width': 2}, {'x': 0, 'y': 6, 'height': 1, 'width': 2}, {'x': 2, 'y': 6, 'height': 1, 'width': 2}, {'x': 4, 'y': 6, 'height': 1, 'width': 2}, {'x': 6, 'y': 6, 'height': 1, 'width': 2}]",8.0,7.0,1.0,17.0,1.0,none,8.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch', 'row', 'row'], 'low_level_part_types': ['pillar', 'pillar', 'arch-8', 'row-thin', 'row-thick'], 'low_level_part_params': ['1', '1'], 'mid_level_parts': ['pillar-pair', 'arch', 'viaduct'], 'mid_level_part_types': ['pillar-pair', 'arch-8', 'viaduct'], 'mid_level_part_params': ['1', '8', '2'], 'high_level_parts': ['arch-set-parameterized', 'viaduct'], 'high_level_part_types': ['viaduct', 'arch-set-8'], 'high_level_part_params': ['1', '2']}","['pillar', 'pillar', 'arch', 'row', 'row']","['pillar', 'pillar', 'arch-8', 'row-thin', 'row-thick']","['1', '1']","['pillar-pair', 'arch', 'viaduct']","['pillar-pair', 'arch-8', 'viaduct']","['1', '8', '2']","['arch-set-parameterized', 'viaduct']","['viaduct', 'arch-set-8']","['1', '2']",((l 1) t (r 14) t (l 13) h (r 12) h (l 10) h (r 8) h (l 6) h (r 4) h (l 8) h (r 12) h (l 10) h (r 4) h (r 4) h (l 10) h (r 4) h (r 4) h (r 4) h),(t (r 7) t (l 7) h (r 6) h (l 5) h (r 4) h (l 3) h (r 2) h (l 4) h (r 6) h (l 5) h (r 2) h (r 2) h (l 5) h (r 2) h (r 2) h (r 2) h),6,True,,,,,,,,,,,,,,[],[],6,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-006-all.png,"['l', '1', '1x2', 'r', '14', '1x2', 'l', '13', '2x1', 'r', '12', '2x1', 'l', '10', '2x1', 'r', '8', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'l', '8', '2x1', 'r', '12', '2x1', 'l', '10', '2x1', 'r', '4', '2x1', 'r', '4', '2x1', 'l', '10', '2x1', 'r', '4', '2x1', 'r', '4', '2x1', 'r', '4', '2x1']","['pillar', 'pillar', 'arch', 'row', 'row', '1', '1']","['pillar-pair', 'arch', 'viaduct', '1', '8', '2']","['arch-set-parameterized', 'viaduct', '1', '2']","['pillar', 'pillar', 'arch-8', 'row-thin', 'row-thick', '1', '1']","['pillar-pair', 'arch-8', 'viaduct', '1', '8', '2']","['viaduct', 'arch-set-8', '1', '2']"
7,7,7,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 7, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 1, 'width': 2}, {'x': 6, 'y': 2, 'height': 1, 'width': 2}, {'x': 1, 'y': 3, 'height': 1, 'width': 2}, {'x': 5, 'y': 3, 'height': 1, 'width': 2}, {'x': 2, 'y': 4, 'height': 1, 'width': 2}, {'x': 4, 'y': 4, 'height': 1, 'width': 2}, {'x': 0, 'y': 4, 'height': 1, 'width': 2}, {'x': 6, 'y': 4, 'height': 1, 'width': 2}, {'x': 1, 'y': 5, 'height': 1, 'width': 2}, {'x': 3, 'y': 5, 'height': 1, 'width': 2}, {'x': 5, 'y': 5, 'height': 1, 'width': 2}, {'x': 0, 'y': 5, 'height': 2, 'width': 1}, {'x': 7, 'y': 5, 'height': 2, 'width': 1}]",8.0,7.0,1.0,15.0,1.0,uniform,8.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch', 'row', 'pillar', 'pillar'], 'low_level_part_types': ['pillar', 'pillar', 'arch-8', 'row-thin', 'pillar', 'pillar'], 'low_level_part_params': ['1', '1', '1', '1'], 'mid_level_parts': ['pillar-pair', 'arch', 'viaduct', 'suspension'], 'mid_level_part_types': ['pillar-pair', 'arch-8', 'viaduct', 'suspension-uniform'], 'mid_level_part_params': ['1', '8', '1'], 'high_level_parts': ['arch-set-parameterized', 'viaduct', 'suspension'], 'high_level_part_types': ['viaduct', 'suspension-uniform', 'arch-set-8'], 'high_level_part_params': ['1', '1']}","['pillar', 'pillar', 'arch', 'row', 'pillar', 'pillar']","['pillar', 'pillar', 'arch-8', 'row-thin', 'pillar', 'pillar']","['1', '1', '1', '1']","['pillar-pair', 'arch', 'viaduct', 'suspension']","['pillar-pair', 'arch-8', 'viaduct', 'suspension-uniform']","['1', '8', '1']","['arch-set-parameterized', 'viaduct', 'suspension']","['viaduct', 'suspension-uniform', 'arch-set-8']","['1', '1']",((l 1) t (r 14) t (l 13) h (r 12) h (l 10) h (r 8) h (l 6) h (r 4) h (l 8) h (r 12) h (l 10) h (r 4) h (r 4) h (l 11) t (r 14) t),(t (r 7) t (l 7) h (r 6) h (l 5) h (r 4) h (l 3) h (r 2) h (l 4) h (r 6) h (l 5) h (r 2) h (r 2) h (l 5) t (r 7) t),7,True,,,,,,,,,,,,,,[],[],7,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-007-all.png,"['l', '1', '1x2', 'r', '14', '1x2', 'l', '13', '2x1', 'r', '12', '2x1', 'l', '10', '2x1', 'r', '8', '2x1', 'l', '6', '2x1', 'r', '4', '2x1', 'l', '8', '2x1', 'r', '12', '2x1', 'l', '10', '2x1', 'r', '4', '2x1', 'r', '4', '2x1', 'l', '11', '1x2', 'r', '14', '1x2']","['pillar', 'pillar', 'arch', 'row', 'pillar', 'pillar', '1', '1', '1', '1']","['pillar-pair', 'arch', 'viaduct', 'suspension', '1', '8', '1']","['arch-set-parameterized', 'viaduct', 'suspension', '1', '1']","['pillar', 'pillar', 'arch-8', 'row-thin', 'pillar', 'pillar', '1', '1', '1', '1']","['pillar-pair', 'arch-8', 'viaduct', 'suspension-uniform', '1', '8', '1']","['viaduct', 'suspension-uniform', 'arch-set-8', '1', '1']"
8,8,8,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 3, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 2, 'width': 1}, {'x': 3, 'y': 2, 'height': 2, 'width': 1}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 3, 'y': 4, 'height': 2, 'width': 1}, {'x': 0, 'y': 6, 'height': 1, 'width': 2}, {'x': 2, 'y': 6, 'height': 1, 'width': 2}]",4.0,7.0,2.0,8.0,1.0,none,4.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch'], 'low_level_part_types': ['pillar', 'pillar', 'arch-4'], 'low_level_part_params': ['2', '2'], 'mid_level_parts': ['pillar-pair', 'arch'], 'mid_level_part_types': ['pillar-pair', 'arch-4'], 'mid_level_part_params': ['2', '4'], 'high_level_parts': ['arch-set-parameterized'], 'high_level_part_types': ['arch-set-4'], 'high_level_part_params': ['2']}","['pillar', 'pillar', 'arch']","['pillar', 'pillar', 'arch-4']","['2', '2']","['pillar-pair', 'arch']","['pillar-pair', 'arch-4']","['2', '4']",['arch-set-parameterized'],['arch-set-4'],['2'],((l 1) t (r 6) t (l 6) t (r 6) t (l 6) t (r 6) t (l 5) h (r 4) h),(t (r 3) t (l 3) t (r 3) t (l 3) t (r 3) t (l 3) h (r 2) h),8,True,,,,,,,,,,,,,,[],[],8,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-008-all.png,"['l', '1', '1x2', 'r', '6', '1x2', 'l', '6', '1x2', 'r', '6', '1x2', 'l', '6', '1x2', 'r', '6', '1x2', 'l', '5', '2x1', 'r', '4', '2x1']","['pillar', 'pillar', 'arch', '2', '2']","['pillar-pair', 'arch', '2', '4']","['arch-set-parameterized', '2']","['pillar', 'pillar', 'arch-4', '2', '2']","['pillar-pair', 'arch-4', '2', '4']","['arch-set-4', '2']"
9,9,9,bridge,"[{'x': 0, 'y': 0, 'height': 2, 'width': 1}, {'x': 3, 'y': 0, 'height': 2, 'width': 1}, {'x': 0, 'y': 2, 'height': 2, 'width': 1}, {'x': 3, 'y': 2, 'height': 2, 'width': 1}, {'x': 0, 'y': 4, 'height': 2, 'width': 1}, {'x': 3, 'y': 4, 'height': 2, 'width': 1}, {'x': 0, 'y': 6, 'height': 1, 'width': 2}, {'x': 2, 'y': 6, 'height': 1, 'width': 2}, {'x': 1, 'y': 7, 'height': 1, 'width': 2}]",4.0,8.0,2.0,9.0,1.0,none,4.0,0.0,0.0,"{'low_level_parts': ['pillar', 'pillar', 'arch', 'row'], 'low_level_part_types': ['pillar', 'pillar', 'arch-4', 'row-thin'], 'low_level_part_params': ['2', '2'], 'mid_level_parts': ['pillar-pair', 'arch', 'viaduct'], 'mid_level_part_types': ['pillar-pair', 'arch-4', 'viaduct'], 'mid_level_part_params': ['2', '4', '1'], 'high_level_parts': ['arch-set-parameterized', 'viaduct'], 'high_level_part_types': ['viaduct', 'arch-set-4'], 'high_level_part_params': ['2', '1']}","['pillar', 'pillar', 'arch', 'row']","['pillar', 'pillar', 'arch-4', 'row-thin']","['2', '2']","['pillar-pair', 'arch', 'viaduct']","['pillar-pair', 'arch-4', 'viaduct']","['2', '4', '1']","['arch-set-parameterized', 'viaduct']","['viaduct', 'arch-set-4']","['2', '1']",((l 1) t (r 6) t (l 6) t (r 6) t (l 6) t (r 6) t (l 5) h (r 4) h (l 2) h),(t (r 3) t (l 3) t (r 3) t (l 3) t (r 3) t (l 3) h (r 2) h (l 1) h),9,False,,,,,,,,,,,,,,[],[],9,bridge,https://lax-structures-bridge-all.s3.amazonaws.com/lax-structures-bridge-009-all.png,"['l', '1', '1x2', 'r', '6', '1x2', 'l', '6', '1x2', 'r', '6', '1x2', 'l', '6', '1x2', 'r', '6', '1x2', 'l', '5', '2x1', 'r', '4', '2x1', 'l', '2', '2x1']","['pillar', 'pillar', 'arch', 'row', '2', '2']","['pillar-pair', 'arch', 'viaduct', '2', '4', '1']","['arch-set-parameterized', 'viaduct', '2', '1']","['pillar', 'pillar', 'arch-4', 'row-thin', '2', '2']","['pillar-pair', 'arch-4', 'viaduct', '2', '4', '1']","['viaduct', 'arch-set-4', '2', '1']"
