gameID,stimId,domain,subdomain,what_word_sum,where_word_sum,dsl,program_length
3470-26c59f75-7b3f-446f-a214-583ee92a938e,166,structures,bridge,6,38,dsl_0_base,159
3470-26c59f75-7b3f-446f-a214-583ee92a938e,113,structures,bridge,6,39,dsl_0_base,156
3470-26c59f75-7b3f-446f-a214-583ee92a938e,70,structures,bridge,6,16,dsl_0_base,105
3470-26c59f75-7b3f-446f-a214-583ee92a938e,171,structures,bridge,6,30,dsl_0_base,141
3470-26c59f75-7b3f-446f-a214-583ee92a938e,46,structures,bridge,6,31,dsl_0_base,78
3470-26c59f75-7b3f-446f-a214-583ee92a938e,228,structures,bridge,6,44,dsl_0_base,231
3470-26c59f75-7b3f-446f-a214-583ee92a938e,94,structures,bridge,6,40,dsl_0_base,159
3470-26c59f75-7b3f-446f-a214-583ee92a938e,143,structures,bridge,6,38,dsl_0_base,78
3470-26c59f75-7b3f-446f-a214-583ee92a938e,4,structures,bridge,6,29,dsl_0_base,30
3470-26c59f75-7b3f-446f-a214-583ee92a938e,56,structures,bridge,6,38,dsl_0_base,93
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,150,structures,bridge,18,31,dsl_0_base,153
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,108,structures,bridge,9,16,dsl_0_base,96
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,72,structures,bridge,9,22,dsl_0_base,123
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,151,structures,bridge,12,26,dsl_0_base,81
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,180,structures,bridge,12,38,dsl_0_base,117
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,169,structures,bridge,15,34,dsl_0_base,156
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,232,structures,bridge,15,36,dsl_0_base,162
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,134,structures,bridge,9,12,dsl_0_base,240
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,16,structures,bridge,9,19,dsl_0_base,45
7338-3a87e74e-e624-4315-9c74-a48bc24d5eb0,20,structures,bridge,6,25,dsl_0_base,39
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,200,structures,bridge,13,12,dsl_0_base,168
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,110,structures,bridge,10,12,dsl_0_base,153
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,80,structures,bridge,12,14,dsl_0_base,99
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,201,structures,bridge,13,13,dsl_0_base,183
8307-ba1c065f-9ce5-47d4-bca0-fe932c18fe31,118,structures,bridge,8,13,dsl_0_base,201
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,39,structures,bridge,10,15,dsl_0_base,93
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,225,structures,bridge,7,10,dsl_0_base,171
8307-ba1c065f-9ce5-47d4-bca0-fe932c18fe31,107,structures,bridge,19,14,dsl_0_base,195
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,81,structures,bridge,7,10,dsl_0_base,132
8307-ba1c065f-9ce5-47d4-bca0-fe932c18fe31,63,structures,bridge,9,11,dsl_0_base,81
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,195,structures,bridge,7,9,dsl_0_base,171
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,8,structures,bridge,7,10,dsl_0_base,24
8598-cb16fb43-270b-423a-ab8e-90e5bfa40330,66,structures,bridge,11,14,dsl_0_base,105
8307-ba1c065f-9ce5-47d4-bca0-fe932c18fe31,146,structures,bridge,19,34,dsl_0_base,111
8307-ba1c065f-9ce5-47d4-bca0-fe932c18fe31,240,structures,bridge,26,21,dsl_0_base,189
8307-ba1c065f-9ce5-47d4-bca0-fe932c18fe31,163,structures,bridge,25,15,dsl_0_base,111
